formatted_date,precip_type,temperature_c,apparent_temperature_c,humidity,wind_speed_kmh,visibility_km,pressure_millibars,wind_strength,avg_temperature_c,avg_humidity,avg_wind_speed_kmh
2005-12-31 00:00:00+00:00,rain,0.5777777777777773,-4.05,0.89,17.114300000000004,9.982,1016.66,gale,0.5777777777777773,0.89,17.114300000000004
2006-01-01 00:00:00+00:00,rain,1.161111111111113,-3.238888888888888,0.85,16.6152,9.9015,1016.15,gale,4.075,0.8170833333333333,21.22919166666667
2006-01-02 00:00:00+00:00,rain,2.3499999999999983,-1.5499999999999996,0.91,15.295000000000002,5.313,1014.72,gale,5.263194444444444,0.8470833333333334,17.8247125
2006-01-03 00:00:00+00:00,rain,1.7333333333333318,0.3555555555555558,0.95,5.0876,8.05,1023.21,strong,2.34050925925926,0.8970833333333333,7.726658333333333
2006-01-04 00:00:00+00:00,rain,1.7000000000000013,-2.738888888888889,0.92,17.661700000000003,9.9015,1022.83,gale,2.2518518518518524,0.9066666666666667,12.152816666666666
2006-01-05 00:00:00+00:00,rain,2.633333333333334,2.633333333333334,0.96,2.6887,2.4794,1020.86,moderate,2.703935185185186,0.95125,8.991179166666667
2006-01-06 00:00:00+00:00,rain,2.272222222222224,0.6222222222222208,0.96,5.957000000000001,0.483,1025.32,gale,2.5504629629629636,0.9458333333333333,5.7295875
2006-01-07 00:00:00+00:00,rain,0.294444444444445,-1.2722222222222217,0.96,5.0715,5.570600000000001,1032.36,strong,0.8770833333333333,0.9358333333333334,6.589595833333334
2006-01-08 00:00:00+00:00,snow,-4.094444444444445,-6.794444444444445,0.96,6.1824,6.6976,1035.67,gale,-1.2317129629629633,0.86875,5.397525000000001
2006-01-09 00:00:00+00:00,snow,-1.277777777777778,-1.277777777777778,0.81,3.5420000000000007,9.982,1033.7,strong,-1.693287037037037,0.7925,5.1137625
2006-01-10 00:00:00+00:00,snow,-2.872222222222223,-2.872222222222223,0.9,3.0912,4.6046000000000005,1032.74,moderate,-0.5326388888888888,0.8145833333333333,3.779475
2006-01-11 00:00:00+00:00,snow,-1.4499999999999995,-3.166666666666666,0.95,4.8944,2.6565,1033.21,strong,-1.392361111111111,0.89875,5.115775
2006-01-12 00:00:00+00:00,snow,-0.5555555555555556,-0.5555555555555556,0.92,2.7531000000000003,3.1073,1036.52,moderate,-0.34189814814814795,0.8841666666666667,4.613991666666667
